id,date,user,pc,activity
DEV0000001,01/01/2026 11:30:05,USR0005,PC-USR0005-01,Connect
DEV0000002,01/02/2026 11:30:50,USR0006,PC-USR0006-01,Connect
DEV0000003,01/06/2026 11:30:43,USR0002,PC-USR0002-01,Connect
DEV0000004,01/06/2026 11:30:44,USR0021,PC-USR0021-01,Connect
DEV0000005,01/07/2026 11:30:01,USR0016,PC-USR0016-01,Connect
DEV0000006,01/08/2026 11:30:34,USR0004,PC-USR0004-01,Connect
DEV0000007,01/08/2026 11:30:36,USR0010,PC-USR0010-01,Connect
DEV0000008,01/12/2026 11:30:23,USR0023,PC-USR0023-01,Connect
DEV0000009,01/12/2026 11:30:12,USR0024,PC-USR0024-01,Connect
DEV0000010,01/14/2026 11:30:01,USR0022,PC-USR0022-01,Connect
DEV0000011,01/14/2026 11:30:14,USR0023,PC-USR0023-01,Connect
DEV0000012,01/15/2026 11:30:39,USR0005,PC-USR0005-01,Connect
DEV0000013,01/16/2026 11:30:27,USR0014,PC-USR0014-01,Connect
DEV0000014,01/16/2026 11:30:35,USR0024,PC-USR0024-01,Connect
DEV0000015,01/16/2026 11:30:13,USR0025,PC-USR0025-01,Connect
DEV0000016,01/19/2026 11:30:51,USR0020,PC-USR0020-01,Connect
DEV0000017,01/20/2026 11:30:48,USR0013,PC-USR0013-01,Connect
DEV0000018,01/20/2026 11:30:18,USR0016,PC-USR0016-01,Connect
DEV0000019,01/21/2026 22:15:23,AAE0190,PC-AAE0190-01,Connect
DEV0000020,01/21/2026 22:45:31,AAE0190,PC-AAE0190-01,Disconnect
DEV0000021,01/21/2026 11:30:16,USR0024,PC-USR0024-01,Connect
DEV0000022,01/22/2026 22:15:20,AAE0190,PC-AAE0190-01,Connect
DEV0000023,01/22/2026 22:45:20,AAE0190,PC-AAE0190-01,Disconnect
DEV0000024,01/22/2026 11:30:44,USR0002,PC-USR0002-01,Connect
DEV0000025,01/22/2026 11:30:32,USR0023,PC-USR0023-01,Connect
DEV0000026,01/23/2026 22:15:28,AAE0190,PC-AAE0190-01,Connect
DEV0000027,01/23/2026 22:45:35,AAE0190,PC-AAE0190-01,Disconnect
DEV0000028,01/23/2026 11:30:05,USR0020,PC-USR0020-01,Connect
DEV0000029,01/23/2026 11:30:51,USR0022,PC-USR0022-01,Connect
DEV0000030,01/24/2026 22:15:37,AAE0190,PC-AAE0190-01,Connect
DEV0000031,01/24/2026 22:45:44,AAE0190,PC-AAE0190-01,Disconnect
DEV0000032,01/25/2026 22:15:24,AAE0190,PC-AAE0190-01,Connect
DEV0000033,01/25/2026 22:45:52,AAE0190,PC-AAE0190-01,Disconnect
DEV0000034,01/26/2026 22:15:55,AAE0190,PC-AAE0190-01,Connect
DEV0000035,01/26/2026 22:45:36,AAE0190,PC-AAE0190-01,Disconnect
DEV0000036,01/26/2026 11:30:19,USR0016,PC-USR0016-01,Connect
DEV0000037,01/26/2026 11:30:43,USR0020,PC-USR0020-01,Connect
DEV0000038,01/27/2026 22:15:19,AAE0190,PC-AAE0190-01,Connect
DEV0000039,01/27/2026 22:45:06,AAE0190,PC-AAE0190-01,Disconnect
DEV0000040,01/28/2026 22:15:06,AAE0190,PC-AAE0190-01,Connect
DEV0000041,01/28/2026 22:45:10,AAE0190,PC-AAE0190-01,Disconnect
DEV0000042,01/28/2026 11:30:02,USR0016,PC-USR0016-01,Connect
DEV0000043,01/28/2026 11:30:06,USR0019,PC-USR0019-01,Connect
DEV0000044,01/29/2026 22:15:17,AAE0190,PC-AAE0190-01,Connect
DEV0000045,01/29/2026 22:45:59,AAE0190,PC-AAE0190-01,Disconnect
DEV0000046,01/30/2026 22:15:05,AAE0190,PC-AAE0190-01,Connect
DEV0000047,01/30/2026 22:45:03,AAE0190,PC-AAE0190-01,Disconnect
