id,date,user,pc,filename,activity,content
FIL0000001,01/01/2026 10:37:27,AAE0190,PC-AAE0190-01,C:\Documents\work_doc_3.docx,File Open,Sample content
FIL0000002,01/01/2026 09:05:13,AAE0190,PC-AAE0190-01,C:\Documents\work_doc_15.docx,File Open,Sample content
FIL0000003,01/01/2026 09:35:12,AAE0190,PC-AAE0190-01,C:\Documents\work_doc_46.docx,File Open,Sample content
FIL0000004,01/01/2026 15:14:28,AAE0190,PC-AAE0190-01,C:\Documents\work_doc_38.docx,File Open,Sample content
FIL0000005,01/01/2026 13:51:55,AAE0190,PC-AAE0190-01,C:\Documents\work_doc_1.docx,File Open,Sample content
FIL0000006,01/01/2026 11:44:27,AAE0190,PC-AAE0190-01,C:\Documents\work_doc_22.docx,File Open,Sample content
FIL0000007,01/01/2026 13:09:13,AAE0190,PC-AAE0190-01,C:\Documents\work_doc_49.docx,File Open,Sample content
FIL0000008,01/01/2026 14:06:05,AAE0190,PC-AAE0190-01,C:\Documents\work_doc_25.docx,File Open,Sample content
FIL0000009,01/01/2026 14:03:03,USR0002,PC-USR0002-01,C:\Documents\work_doc_38.docx,File Open,Sample content
FIL0000010,01/01/2026 16:32:58,USR0002,PC-USR0002-01,C:\Documents\work_doc_34.docx,File Open,Sample content
FIL0000011,01/01/2026 11:03:32,USR0002,PC-USR0002-01,C:\Documents\work_doc_6.docx,File Open,Sample content
FIL0000012,01/01/2026 11:04:38,USR0002,PC-USR0002-01,C:\Documents\work_doc_5.docx,File Open,Sample content
FIL0000013,01/01/2026 12:25:07,USR0002,PC-USR0002-01,C:\Documents\work_doc_37.docx,File Open,Sample content
FIL0000014,01/01/2026 12:37:38,USR0002,PC-USR0002-01,C:\Documents\work_doc_3.docx,File Open,Sample content
FIL0000015,01/01/2026 13:06:53,USR0003,PC-USR0003-01,C:\Documents\work_doc_13.docx,File Open,Sample content
FIL0000016,01/01/2026 13:14:23,USR0003,PC-USR0003-01,C:\Documents\work_doc_12.docx,File Open,Sample content
FIL0000017,01/01/2026 13:00:45,USR0003,PC-USR0003-01,C:\Documents\work_doc_35.docx,File Open,Sample content
FIL0000018,01/01/2026 11:17:02,USR0003,PC-USR0003-01,C:\Documents\work_doc_4.docx,File Open,Sample content
FIL0000019,01/01/2026 13:44:08,USR0003,PC-USR0003-01,C:\Documents\work_doc_41.docx,File Open,Sample content
FIL0000020,01/01/2026 16:06:55,USR0003,PC-USR0003-01,C:\Documents\work_doc_1.docx,File Open,Sample content
FIL0000021,01/01/2026 13:30:30,USR0003,PC-USR0003-01,C:\Documents\work_doc_29.docx,File Open,Sample content
FIL0000022,01/01/2026 14:11:03,USR0003,PC-USR0003-01,C:\Documents\work_doc_17.docx,File Open,Sample content
FIL0000023,01/01/2026 16:07:52,USR0003,PC-USR0003-01,C:\Documents\work_doc_5.docx,File Open,Sample content
FIL0000024,01/01/2026 15:31:04,USR0003,PC-USR0003-01,C:\Documents\work_doc_37.docx,File Open,Sample content
FIL0000025,01/01/2026 09:09:09,USR0003,PC-USR0003-01,C:\Documents\work_doc_37.docx,File Open,Sample content
FIL0000026,01/01/2026 13:05:15,USR0003,PC-USR0003-01,C:\Documents\work_doc_8.docx,File Open,Sample content
FIL0000027,01/01/2026 15:38:38,USR0003,PC-USR0003-01,C:\Documents\work_doc_40.docx,File Open,Sample content
FIL0000028,01/01/2026 13:44:18,USR0004,PC-USR0004-01,C:\Documents\work_doc_2.docx,File Open,Sample content
FIL0000029,01/01/2026 15:17:00,USR0004,PC-USR0004-01,C:\Documents\work_doc_37.docx,File Open,Sample content
FIL0000030,01/01/2026 09:58:38,USR0004,PC-USR0004-01,C:\Documents\work_doc_48.docx,File Open,Sample content
FIL0000031,01/01/2026 16:53:57,USR0004,PC-USR0004-01,C:\Documents\work_doc_19.docx,File Open,Sample content
FIL0000032,01/01/2026 12:38:51,USR0004,PC-USR0004-01,C:\Documents\work_doc_23.docx,File Open,Sample content
FIL0000033,01/01/2026 12:40:12,USR0004,PC-USR0004-01,C:\Documents\work_doc_40.docx,File Open,Sample content
FIL0000034,01/01/2026 13:43:48,USR0004,PC-USR0004-01,C:\Documents\work_doc_47.docx,File Open,Sample content
FIL0000035,01/01/2026 11:40:06,USR0004,PC-USR0004-01,C:\Documents\work_doc_41.docx,File Open,Sample content
FIL0000036,01/01/2026 09:19:50,USR0004,PC-USR0004-01,C:\Documents\work_doc_29.docx,File Open,Sample content
FIL0000037,01/01/2026 09:37:23,USR0004,PC-USR0004-01,C:\Documents\work_doc_47.docx,File Open,Sample content
FIL0000038,01/01/2026 11:05:58,USR0004,PC-USR0004-01,C:\Documents\work_doc_19.docx,File Open,Sample content
FIL0000039,01/01/2026 14:47:26,USR0004,PC-USR0004-01,C:\Documents\work_doc_12.docx,File Open,Sample content
FIL0000040,01/01/2026 12:08:50,USR0004,PC-USR0004-01,C:\Documents\work_doc_35.docx,File Open,Sample content
FIL0000041,01/01/2026 14:33:32,USR0004,PC-USR0004-01,C:\Documents\work_doc_18.docx,File Open,Sample content
FIL0000042,01/01/2026 11:16:58,USR0004,PC-USR0004-01,C:\Documents\work_doc_31.docx,File Open,Sample content
