id,date,user,pc,activity
LGN0000001,01/01/2026 08:16:47,AAE0190,PC-AAE0190-01,Logon
LGN0000002,01/01/2026 18:07:14,AAE0190,PC-AAE0190-01,Logoff
LGN0000003,01/01/2026 09:24:12,USR0002,PC-USR0002-01,Logon
LGN0000004,01/01/2026 18:06:03,USR0002,PC-USR0002-01,Logoff
LGN0000005,01/01/2026 08:35:07,USR0003,PC-USR0003-01,Logon
LGN0000006,01/01/2026 17:06:13,USR0003,PC-USR0003-01,Logoff
LGN0000007,01/01/2026 09:27:24,USR0004,PC-USR0004-01,Logon
LGN0000008,01/01/2026 18:03:15,USR0004,PC-USR0004-01,Logoff
LGN0000009,01/01/2026 08:18:09,USR0005,PC-USR0005-01,Logon
LGN0000010,01/01/2026 17:24:39,USR0005,PC-USR0005-01,Logoff
LGN0000011,01/01/2026 09:27:23,USR0006,PC-USR0006-01,Logon
LGN0000012,01/01/2026 18:14:49,USR0006,PC-USR0006-01,Logoff
LGN0000013,01/01/2026 09:26:29,USR0007,PC-USR0007-01,Logon
LGN0000014,01/01/2026 18:17:22,USR0007,PC-USR0007-01,Logoff
LGN0000015,01/01/2026 09:29:52,USR0008,PC-USR0008-01,Logon
LGN0000016,01/01/2026 18:18:38,USR0008,PC-USR0008-01,Logoff
LGN0000017,01/01/2026 09:53:24,USR0009,PC-USR0009-01,Logon
LGN0000018,01/01/2026 18:18:07,USR0009,PC-USR0009-01,Logoff
LGN0000019,01/01/2026 08:49:22,USR0010,PC-USR0010-01,Logon
LGN0000020,01/01/2026 17:14:19,USR0010,PC-USR0010-01,Logoff
LGN0000021,01/01/2026 08:33:01,USR0011,PC-USR0011-01,Logon
LGN0000022,01/01/2026 18:08:06,USR0011,PC-USR0011-01,Logoff
LGN0000023,01/01/2026 09:20:23,USR0012,PC-USR0012-01,Logon
LGN0000024,01/01/2026 18:05:07,USR0012,PC-USR0012-01,Logoff
LGN0000025,01/01/2026 08:52:31,USR0013,PC-USR0013-01,Logon
LGN0000026,01/01/2026 18:11:08,USR0013,PC-USR0013-01,Logoff
LGN0000027,01/01/2026 09:26:29,USR0014,PC-USR0014-01,Logon
LGN0000028,01/01/2026 17:22:33,USR0014,PC-USR0014-01,Logoff
LGN0000029,01/01/2026 08:51:41,USR0015,PC-USR0015-01,Logon
LGN0000030,01/01/2026 18:21:31,USR0015,PC-USR0015-01,Logoff
LGN0000031,01/01/2026 08:36:36,USR0016,PC-USR0016-01,Logon
LGN0000032,01/01/2026 17:05:55,USR0016,PC-USR0016-01,Logoff
LGN0000033,01/01/2026 09:21:29,USR0017,PC-USR0017-01,Logon
LGN0000034,01/01/2026 18:21:41,USR0017,PC-USR0017-01,Logoff
LGN0000035,01/01/2026 08:40:07,USR0018,PC-USR0018-01,Logon
LGN0000036,01/01/2026 17:25:41,USR0018,PC-USR0018-01,Logoff
LGN0000037,01/01/2026 09:37:19,USR0019,PC-USR0019-01,Logon
LGN0000038,01/01/2026 18:27:35,USR0019,PC-USR0019-01,Logoff
LGN0000039,01/01/2026 08:28:21,USR0020,PC-USR0020-01,Logon
LGN0000040,01/01/2026 18:16:51,USR0020,PC-USR0020-01,Logoff
LGN0000041,01/01/2026 08:28:55,USR0021,PC-USR0021-01,Logon
LGN0000042,01/01/2026 17:25:41,USR0021,PC-USR0021-01,Logoff
LGN0000043,01/01/2026 09:37:49,USR0022,PC-USR0022-01,Logon
LGN0000044,01/01/2026 17:24:56,USR0022,PC-USR0022-01,Logoff
LGN0000045,01/01/2026 09:43:09,USR0023,PC-USR0023-01,Logon
LGN0000046,01/01/2026 18:02:51,USR0023,PC-USR0023-01,Logoff
LGN0000047,01/01/2026 08:18:17,USR0024,PC-USR0024-01,Logon
LGN0000048,01/01/2026 18:17:28,USR0024,PC-USR0024-01,Logoff
LGN0000049,01/01/2026 08:28:14,USR0025,PC-USR0025-01,Logon
LGN0000050,01/01/2026 17:14:55,USR0025,PC-USR0025-01,Logoff
LGN0000051,01/02/2026 09:15:24,AAE0190,PC-AAE0190-01,Logon
LGN0000052,01/02/2026 17:14:14,AAE0190,PC-AAE0190-01,Logoff
LGN0000053,01/02/2026 08:23:12,USR0002,PC-USR0002-01,Logon
LGN0000054,01/02/2026 18:05:32,USR0002,PC-USR0002-01,Logoff
LGN0000055,01/02/2026 08:15:23,USR0003,PC-USR0003-01,Logon
LGN0000056,01/02/2026 17:21:50,USR0003,PC-USR0003-01,Logoff
