user_id,full_name,O,C,E,A,N
AAE0190,User AAE0190,35,40,28,32,45
USR0002,User USR0002,35,40,28,32,45
USR0003,User USR0003,35,40,28,32,45
USR0004,User USR0004,35,40,28,32,45
USR0005,User USR0005,35,40,28,32,45
USR0006,User USR0006,35,40,28,32,45
USR0007,User USR0007,35,40,28,32,45
USR0008,User USR0008,35,40,28,32,45
USR0009,User USR0009,35,40,28,32,45
USR0010,User USR0010,35,40,28,32,45
USR0011,User USR0011,35,40,28,32,45
USR0012,User USR0012,35,40,28,32,45
USR0013,User USR0013,35,40,28,32,45
USR0014,User USR0014,35,40,28,32,45
USR0015,User USR0015,35,40,28,32,45
USR0016,User USR0016,35,40,28,32,45
USR0017,User USR0017,35,40,28,32,45
USR0018,User USR0018,35,40,28,32,45
USR0019,User USR0019,35,40,28,32,45
USR0020,User USR0020,35,40,28,32,45
USR0021,User USR0021,35,40,28,32,45
USR0022,User USR0022,35,40,28,32,45
USR0023,User USR0023,35,40,28,32,45
USR0024,User USR0024,35,40,28,32,45
USR0025,User USR0025,35,40,28,32,45
