user,after_hours_usb_count
EIS0041,899
AJF0370,888
HDS0367,870
HRL0540,867
IBB0359,859
BAL0044,854
BRM0995,852
MPM0220,731
DLM0051,594
BSS0369,543
CCA0046,489
MOS0047,480
LBH0942,411
BMG0917,397
SAA0999,325
AIB0948,308
AVM0947,304
GTD0219,303
CGB0637,280
MOH0273,278
WIF0691,273
KCO0122,208
HCM0267,200
HCL0651,181
RSC0089,175
CQW0652,155
JDF0593,138
JDB0169,136
LJT0817,126
THR0873,115
KKW0879,111
LRR0148,107
MLM0950,100
RHL0992,97
SGM0021,93
CIM0271,91
MLL0598,71
HDH0928,70
RAW0915,69
DIW0118,69
XWD0923,65
LCC0819,64
CLB0774,61
PMC0328,61
DRR0162,58
TNM0961,56
VCC0396,54
NWT0098,54
OLW0689,53
IRM0931,53
BJM0111,53
MBJ0312,52
JJM0203,52
HXL0968,49
ABC0174,49
AOK0844,49
IBS0836,45
NOB0181,44
RNP0211,43
DFH0188,42
HSB0196,41
IIW0249,41
GKO0078,40
AKR0057,40
DMK0257,38
KMB0922,37
MCF0600,36
LBF0214,36
PMV0850,36
NAF0326,33
RSM0277,32
RUM0880,32
IBB0696,31
ZKS0899,31
CHM0821,31
HPH0075,30
CTA0020,30
CAM0681,30
AJD0074,29
LCB0664,29
RVF0201,29
VTT0385,28
IKR0401,28
JCG0316,27
PPF0435,27
NGF0157,25
JBD0616,24
OCS0865,24
JRG0207,23
DCH0843,23
QRM0739,23
RHO0732,22
BAJ0654,22
QJR0688,22
RLG0856,21
WXH0872,21
MAR0955,21
JHP0583,21
MDM0625,21
BTR0403,20
BWP0202,20
ATP0662,20
ILH0958,20
RKD0604,20
VFM0814,19
KLH0596,19
KCS0173,19
AJR0932,19
PDH0716,19
BBG0325,18
FTM0406,18
VIA0063,17
AHD0848,17
XAA0104,17
DBB0384,16
AIP0982,16
MAS0025,16
BDV0168,16
GNS0178,15
EDB0714,15
AMR0318,14
NGC0058,14
ESR0693,14
BVC0790,14
WBC0192,13
RAR0725,13
CAH0936,13
EHB0824,13
SBN0971,12
JDC0030,12
HFB0347,12
FMG0527,12
ATE0869,12
HWW0436,12
SBN0866,12
OBH0499,11
GHL0460,11
BIH0745,11
JMK0099,11
JJH0613,11
SNC0187,10
AJN0607,10
LQC0479,9
MDH0580,9
USH0199,9
QOS0878,9
SJO0209,8
VMJ0546,8
KPC0073,8
JMB0308,8
BTL0226,8
JMD0520,8
KWE0082,8
LOM0086,8
TDS0984,8
FFC0891,7
AAM0658,7
CQH0701,7
HBO0413,7
IKP0472,7
MYD0978,7
EHD0584,7
MTB0620,7
MKW0441,6
TSR0676,6
RGG0064,6
WDD0366,6
LJR0523,6
HJB0742,6
VSA0230,6
JCR0172,5
JFC0557,5
HVF0067,5
DPM0423,5
CCL0068,5
DAL0673,5
VSS0154,5
TAP0551,5
BLS0678,4
HAD0246,4
RAB0589,4
NDM0417,4
IJM0444,4
BEH0615,4
CPG0322,4
DIB0081,3
ESJ0670,3
ANM0123,3
AHM0410,3
AJH0175,3
CEJ0109,3
RMW0542,3
LDG0459,3
MCD0125,3
JNJ0556,2
IBM0671,2
MTT0901,2
PSF0133,2
KMW0545,2
LIM0674,2
GCS0571,2
HRB0351,2
FSC0601,2
GHH0288,2
ESH0283,2
BIS0247,1
BBS0422,1
BBS0039,1
CSC0217,1
BRS0734,1
HMM0108,1
GZC0735,1
FEB0306,1
DIB0285,1
CAA0612,1
CAS0507,1
JLM0364,1
KBG0549,1
MSO0222,1
JTM0223,1
JTS0389,1
JGT0221,1
RDT0424,1
PNH0761,1
NKP0236,1
SCP0130,1
