user,anomaly_score,status,login_count,after_hours_logins,weekend_logins,unique_computers,device_activity,usb_connections,after_hours_usb,weekend_usb,usb_unique_computers,file_activity,after_hours_files,weekend_files,email_count,after_hours_emails,weekend_emails,attachment_count,web_activity,after_hours_web,weekend_web,O,C,E,A,N,after_hours_login_ratio,weekend_login_ratio,after_hours_email_ratio,after_hours_web_ratio,after_hours_file_ratio,behavioral_signals,priority_score,priority
DLM0051,-0.2313049550961623,Anomaly,856,458.0,182.0,3,7533.0,3775.0,594.0,757.0,1.0,10673.0,1559.0,2184.0,7573,1179.0,1550.0,4050,82840,12858.0,16720.0,37,37,17,20,35,0.5350467289719626,0.21261682242990654,0.15568466921959592,0.15521487204249154,0.14606952122177458,6,1.0,High Priority
LBH0942,-0.1770230453908481,Anomaly,819,453.0,199.0,1,7785.0,3903.0,411.0,893.0,1.0,10889.0,1016.0,2542.0,3918,471.0,914.0,793,43035,5344.0,9880.0,40,42,23,30,29,0.5531135531135531,0.24297924297924298,0.12021439509954059,0.12417799465551295,0.09330517035540453,6,0.858898013031034,High Priority
MOH0273,-0.1270163394998459,Anomaly,401,401.0,53.0,1,6295.0,3155.0,278.0,426.0,1.0,9306.0,748.0,1210.0,3463,381.0,462.0,654,38095,3796.0,5035.0,39,40,47,50,26,1.0,0.13216957605985039,0.11002021368755414,0.09964562278514241,0.08037825059101655,6,0.7289091161536212,Medium Priority
AJF0370,-0.202920273354383,Anomaly,1777,942.0,77.0,661,8502.0,4261.0,888.0,198.0,642.0,11053.0,2368.0,483.0,3927,0.0,193.0,2212,42445,0.0,1992.0,37,33,11,15,36,0.530106921778278,0.04333145751266179,0.0,0.0,0.21424047769836244,3,0.7262160263890884,Medium Priority
HSB0196,-0.1709015563818804,Anomaly,494,19.0,123.0,1,7595.0,3805.0,41.0,962.0,1.0,11627.0,268.0,2964.0,5103,254.0,1307.0,2806,57000,2253.0,14520.0,44,13,43,30,33,0.038461538461538464,0.24898785425101214,0.04977464236723496,0.03952631578947369,0.02304979788423497,4,0.7096523017606828,Medium Priority
BAL0044,-0.1284201374706204,Anomaly,1709,1262.0,2.0,628,2258.0,1130.0,854.0,0.0,607.0,2900.0,2061.0,0.0,3696,364.0,0.0,2418,41379,4212.0,0.0,14,41,26,44,30,0.7384435342305442,0.0011702750146284377,0.09848484848484848,0.10179076343072573,0.7106896551724138,5,0.6658915230743545,Medium Priority
IRM0931,-0.1016165670982079,Anomaly,1063,545.0,271.0,2,1004.0,505.0,53.0,129.0,1.0,2278.0,152.0,617.0,4157,599.0,1063.0,2780,45315,6136.0,11590.0,44,46,33,35,30,0.5126999059266227,0.25493885230479774,0.14409429877315372,0.13540770164404722,0.06672519754170325,6,0.662884203362468,Medium Priority
LBF0214,-0.1002560193233422,Anomaly,1015,544.0,232.0,2,941.0,471.0,36.0,107.0,1.0,1236.0,51.0,301.0,6135,487.0,1399.0,3348,68400,5435.0,15450.0,18,44,18,38,28,0.5359605911330049,0.22857142857142856,0.07938060309698451,0.07945906432748538,0.0412621359223301,6,0.6593475556018797,Medium Priority
BSS0369,-0.1502879392422846,Anomaly,962,569.0,180.0,504,5472.0,2740.0,543.0,511.0,489.0,2295.0,1301.0,454.0,2300,0.0,432.0,491,28561,87.0,5280.0,39,42,34,14,32,0.5914760914760915,0.18711018711018712,0.0,0.0030461118308182486,0.566884531590414,4,0.6560686612291533,Medium Priority
NAF0326,-0.1230477392204247,Anomaly,977,493.0,218.0,48,1790.0,900.0,33.0,185.0,1.0,2446.0,43.0,509.0,7121,416.0,1597.0,4263,74034,3658.0,16524.0,33,15,25,20,30,0.5046059365404298,0.22313203684749233,0.05841876140991434,0.04940973066428938,0.01757972199509403,5,0.6519263536098581,Medium Priority
