feature,mean,median,std,minimum,maximum
login_count,470.591,346.0,250.13004369279145,29.0,1777.0
after_hours_logins,181.11,157.0,209.29290341389842,0.0,1269.0
weekend_logins,11.864,0.0,43.46878235054484,0.0,325.0
unique_computers,24.271,1.0,109.51994419820153,1.0,720.0
device_activity,405.38,0.0,1234.481521216995,0.0,8502.0
usb_connections,203.339,0.0,618.7743981733851,0.0,4261.0
after_hours_usb,17.296,0.0,89.55749510191164,0.0,899.0
weekend_usb,8.787,0.0,62.79135597664209,0.0,962.0
usb_unique_computers,5.351,0.0,51.87238710088001,0.0,642.0
file_activity,445.581,0.0,1461.9418063945925,0.0,11627.0
after_hours_files,37.403,0.0,205.1249054059936,0.0,2368.0
weekend_files,20.308,0.0,163.36641552571848,0.0,2964.0
email_count,2629.979,3002.0,1830.2940164754257,34.0,12034.0
after_hours_emails,167.28,68.0,206.60504166946953,0.0,1338.0
weekend_emails,50.465,0.0,209.71793530212764,0.0,2092.0
attachment_count,1061.449,711.0,1116.4307632128596,0.0,7372.0
web_activity,28434.423,32870.0,20222.01291143543,350.0,138000.0
after_hours_web,1710.411,617.5,2203.750470042653,0.0,15744.0
weekend_web,541.701,0.0,2247.6705266554072,0.0,20349.0
