user,anomaly_score,status,login_count,after_hours_logins,weekend_logins,unique_computers,device_activity,usb_connections,after_hours_usb,weekend_usb,usb_unique_computers,file_activity,after_hours_files,weekend_files,email_count,after_hours_emails,weekend_emails,attachment_count,web_activity,after_hours_web,weekend_web,O,C,E,A,N,after_hours_total,weekend_total,total_behavior_activity,after_hours_flag,weekend_flag,usb_flag,file_flag,attachment_flag,risk_indicator,risk_category
DLM0051,-0.2313049550961623,Anomaly,856,458.0,182.0,3,7533.0,3775.0,594.0,757.0,1.0,10673.0,1559.0,2184.0,7573,1179.0,1550.0,4050,82840,12858.0,16720.0,37,37,17,20,35,16648.0,21393.0,109475.0,1,1,1,1,1,5,High
AJF0370,-0.202920273354383,Anomaly,1777,942.0,77.0,661,8502.0,4261.0,888.0,198.0,642.0,11053.0,2368.0,483.0,3927,0.0,193.0,2212,42445,0.0,1992.0,37,33,11,15,36,4198.0,2943.0,67704.0,1,1,1,1,1,5,High
LBH0942,-0.1770230453908481,Anomaly,819,453.0,199.0,1,7785.0,3903.0,411.0,893.0,1.0,10889.0,1016.0,2542.0,3918,471.0,914.0,793,43035,5344.0,9880.0,40,42,23,30,29,7695.0,14428.0,66446.0,1,1,1,1,1,5,High
HSB0196,-0.1709015563818804,Anomaly,494,19.0,123.0,1,7595.0,3805.0,41.0,962.0,1.0,11627.0,268.0,2964.0,5103,254.0,1307.0,2806,57000,2253.0,14520.0,44,13,43,30,33,2835.0,19876.0,81819.0,1,1,1,1,1,5,High
BSS0369,-0.1502879392422846,Anomaly,962,569.0,180.0,504,5472.0,2740.0,543.0,511.0,489.0,2295.0,1301.0,454.0,2300,0.0,432.0,491,28561,87.0,5280.0,39,42,34,14,32,2500.0,6857.0,39590.0,1,1,1,1,1,5,High
IBB0359,-0.1457976958055503,Anomaly,1676,892.0,1.0,604,7852.0,3935.0,859.0,0.0,580.0,3199.0,2130.0,0.0,3631,0.0,0.0,2283,39444,539.0,0.0,48,33,21,43,38,4420.0,1.0,55802.0,1,1,1,1,1,5,High
HPH0075,-0.140621842157239,Anomaly,721,199.0,105.0,1,6345.0,3180.0,30.0,450.0,1.0,9323.0,31.0,1336.0,7435,114.0,1075.0,4528,72720,767.0,10440.0,40,42,48,25,28,1141.0,13406.0,96544.0,1,1,1,1,1,5,High
BAL0044,-0.1284201374706204,Anomaly,1709,1262.0,2.0,628,2258.0,1130.0,854.0,0.0,607.0,2900.0,2061.0,0.0,3696,364.0,0.0,2418,41379,4212.0,0.0,14,41,26,44,30,8753.0,2.0,51942.0,1,1,1,1,1,5,High
MOH0273,-0.1270163394998459,Anomaly,401,401.0,53.0,1,6295.0,3155.0,278.0,426.0,1.0,9306.0,748.0,1210.0,3463,381.0,462.0,654,38095,3796.0,5035.0,39,40,47,50,26,5604.0,7186.0,57560.0,1,1,1,1,1,5,High
NAF0326,-0.1230477392204247,Anomaly,977,493.0,218.0,48,1790.0,900.0,33.0,185.0,1.0,2446.0,43.0,509.0,7121,416.0,1597.0,4263,74034,3658.0,16524.0,33,15,25,20,30,4643.0,19033.0,86368.0,1,1,1,1,1,5,High
