user,login_count,after_hours_logins,weekend_logins,unique_computers,device_activity,usb_connections,after_hours_usb,weekend_usb,usb_unique_computers,file_activity,after_hours_files,weekend_files,email_count,after_hours_emails,weekend_emails,attachment_count,web_activity,after_hours_web,weekend_web,O,C,E,A,N
AAE0190,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4711,255.0,0.0,1780,49478,2051.0,0.0,36,30,14,50,29
AAF0535,164,0.0,0.0,1,688.0,346.0,0.0,0.0,1.0,357.0,0.0,0.0,480,0.0,0.0,364,4878,0.0,0.0,17,21,36,33,31
AAF0791,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3012,0.0,0.0,0,32870,0.0,0.0,14,40,40,50,34
AAL0706,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,17.0,0.0,145,3460,184.0,0.0,37,14,28,13,25
AAM0658,229,5.0,1.0,1,13.0,7.0,7.0,1.0,1.0,31.0,31.0,0.0,659,202.0,0.0,613,6498,1869.0,4.0,43,35,37,36,22
AAN0823,346,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339,67.0,0.0,149,3450,701.0,0.0,24,16,45,24,28
AAS0442,86,22.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145,1.0,0.0,127,1450,13.0,0.0,36,43,22,22,31
AAV0450,346,159.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,2.0,0.0,125,3460,98.0,0.0,44,24,36,41,33
AAW0353,346,165.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000,24.0,0.0,0,10034,211.0,0.0,49,45,19,25,34
ABC0174,533,296.0,83.0,1,1276.0,642.0,49.0,90.0,1.0,589.0,26.0,72.0,4239,277.0,601.0,981,48095,3181.0,6987.0,15,41,34,13,32
ABC0253,617,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3015,155.0,0.0,628,32680,1408.0,0.0,21,15,41,30,28
ABH0663,346,346.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1006,59.0,0.0,224,10034,506.0,0.0,47,49,41,11,34
ABM0845,633,1.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340,50.0,0.0,92,3460,699.0,0.0,45,21,35,50,29
ABN0239,613,159.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3023,98.0,0.0,1206,32870,620.0,0.0,21,37,20,39,25
ACC0042,1362,1219.0,0.0,618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3676,336.0,0.0,2158,39336,3431.0,0.0,23,19,37,20,31
ACV0812,770,140.0,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3040,749.0,0.0,1651,31140,7349.0,0.0,42,37,12,45,28
ADC0391,622,162.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3057,370.0,0.0,2335,32870,4231.0,0.0,50,43,40,33,38
