user,unique_computers
WPR0368,720
AJF0370,661
MNS0224,659
KCF0045,640
QNP0216,639
JCC0225,639
LBC0356,636
JRS0362,636
KJP0371,635
CBB0365,634
DMG0358,633
UIR0043,631
KRV0372,630
HDS0367,630
SAK0375,629
BAL0044,628
JAV0361,625
TSM0363,624
EIS0041,622
BKW0374,620
ACC0042,618
DFR0218,614
IBB0359,604
JLM0364,598
WDD0366,570
MSH0040,540
KSP0357,519
BSS0369,504
MSO0222,490
SOB0360,479
MPM0220,456
CCA0046,447
MOS0047,416
BBS0039,385
JGT0221,368
JTM0223,361
GTD0219,306
CSC0217,289
HWY0038,285
MVH0373,165
NAF0326,48
CMB0912,46
BAJ0654,42
PDW0259,40
TDS0984,39
HRB0351,38
NGC0058,36
JMD0520,36
CPG0322,35
ESH0283,35
AIB0948,34
KMB0922,34
VTT0385,32
JKJ0698,31
AVM0947,30
WSR0241,30
DBS0235,29
ILJ0526,28
RAW0915,28
RSC0089,27
ILH0958,27
HDD0806,26
AHD0848,22
BEH0615,22
BTR0403,21
MVB0515,21
GAF0570,21
IIW0249,21
WDO0870,21
BTL0226,20
SMY0792,20
PID0426,19
NMS0280,19
KRM0541,19
CAH0936,19
ZDW0859,18
BTN0061,17
HVF0067,17
AOK0844,15
CAB0614,15
AKR0057,13
HRD0635,12
HLH0512,10
RZC0746,10
NHH0185,10
QOS0878,9
RAB0589,9
BQS0525,8
MKW0441,8
CFM0767,7
TQS0212,7
BJP0134,6
FQA0854,6
JMC0925,5
QJR0688,5
DAR0885,5
USH0199,4
CTA0020,4
MJM0510,4
BRM0995,4
DTP0379,4
FGW0853,4
ATE0869,4
RHL0992,4
NBC0412,4
BAH0875,3
MLM0950,3
NOB0181,3
NKH0979,3
PNH0761,3
OYM0026,3
PIS0522,3
PMV0850,3
PDH0716,3
PAD0773,3
PEV0323,3
NSC0597,3
BBS0422,3
RJM0381,3
RHO0732,3
QRM0739,3
SVS0871,3
VSA0230,3
AHM0410,3
TVS0006,3
WRM0963,3
WDV0573,3
WBC0192,3
WKD0013,3
