user,device_activity_count
AJF0370,8502
IBB0359,7852
LBH0942,7785
HSB0196,7595
DLM0051,7533
OBH0499,7395
IIW0249,6735
KKW0879,6501
HPH0075,6345
JDF0593,6296
MOH0273,6295
JNJ0556,5995
AVM0947,5984
SAA0999,5971
JBD0616,5968
ZKS0899,5968
CLB0774,5966
AIB0948,5963
QRM0739,5962
HCM0267,5955
BMG0917,5955
CTA0020,5942
BJP0134,5940
LCB0664,5938
BRM0995,5932
DBB0384,5932
HRL0540,5924
BJM0111,5821
RSC0089,5776
MLL0598,5545
VIA0063,5488
BSS0369,5472
VTT0385,5470
THR0873,5466
JDB0169,5464
WIF0691,5455
MDM0625,5452
MPM0220,4978
JFC0557,2785
HDS0367,2722
EIS0041,2644
BAL0044,2258
CGB0637,2155
DPM0423,2131
RNP0211,2129
JJH0613,2095
SGM0021,2069
AJN0607,2061
MBJ0312,2047
HCS0003,2006
MTB0620,2004
BDI0533,1840
BRB0355,1792
NAF0326,1790
MOS0047,1774
BVC0790,1749
MLM0950,1694
JHP0583,1629
LRR0148,1569
CCA0046,1511
CIM0271,1442
VCC0396,1433
GHH0288,1428
SCP0130,1427
KWE0082,1424
TSR0676,1424
BMT0528,1420
OLW0689,1418
VMJ0546,1410
HBO0413,1408
IBB0696,1408
KCO0122,1404
WXH0872,1403
RUM0880,1398
MKW0441,1393
JCG0316,1387
HVF0067,1384
UAD0771,1384
NDM0417,1379
HDH0928,1377
RHO0732,1374
DMK0257,1371
DIW0118,1359
PDH0716,1347
HAH0760,1342
PMC0328,1334
CQW0652,1330
ICH0294,1326
HCL0651,1320
HWW0436,1317
JMD0520,1315
OCS0865,1310
LJT0817,1303
NWT0098,1299
ABC0174,1276
CEJ0109,1274
FSC0601,1263
CCL0068,1262
MDH0580,1257
IKR0401,1134
KRL0501,1130
DRR0162,1116
EDB0714,1070
XWD0923,1047
NOB0181,1047
IKP0472,1033
IRM0931,1004
DIB0081,989
IUB0565,986
TNM0961,984
AKR0057,966
GTD0219,957
LBF0214,941
HXL0968,932
VSS0154,922
RAW0915,872
WIQ0567,867
JJM0203,854
XHW0498,846
FFC0891,833
EGD0132,833
MPT0376,815
PSF0133,813
AOK0844,809
DFH0188,807
QJR0688,798
GZC0735,792
ATP0662,784
BQS0525,782
AHM0410,782
RSM0277,780
BEH0615,780
DIB0285,779
IBS0836,774
CAS0507,759
SMY0792,758
RRP0568,757
BTR0403,756
ILJ0526,754
SBN0866,751
PMV0850,748
CFM0767,745
RMW0542,743
IJM0444,741
RLG0856,738
RHL0992,735
CAB0614,733
CHM0821,733
KMB0922,733
SAB0781,733
MVB0515,731
AIP0982,729
BBG0325,729
GKO0078,723
FEB0306,719
CAM0681,717
KCS0173,714
RDT0424,710
LCC0819,700
RAR0725,696
CWR0502,694
IJM0776,694
AAF0535,688
KJJ0293,687
RVF0201,687
DAL0673,661
PNL0301,653
LOM0086,570
QOS0878,476
HAD0246,424
ATE0869,419
ESR0693,391
JDC0030,380
ESJ0670,366
SBN0971,350
NGC0058,350
TDS0984,346
FKK0055,344
JCR0172,338
AJH0175,317
LDG0459,312
FOB0756,309
NMS0280,307
BBS0422,305
GNS0178,303
ILH0958,300
AHD0848,299
AJD0074,294
IBM0671,287
NGF0157,284
MGS0974,283
AMR0318,281
BAJ0654,279
JMK0099,279
SBH0537,278
ESH0283,277
GCS0571,275
XAA0104,274
CQH0701,271
JTS0389,270
GCL0016,267
WBC0192,266
LIM0674,264
HRB0351,264
SJO0209,264
EMW0772,260
CPG0322,258
BWP0202,257
KMW0545,257
BRS0734,256
CAA0612,254
SNC0187,251
PAD0773,247
NKP0236,246
PNH0761,242
CCM0136,239
BIS0247,232
USH0199,222
KBG0549,216
HMM0108,198
VSA0230,194
HFB0347,190
MTT0901,180
VFM0814,180
RRC0553,161
MCD0125,132
MCF0600,72
ANM0123,57
PPF0435,54
HJS0072,52
DCH0843,46
JRG0207,46
MAR0955,42
RKD0604,40
AJR0932,38
KLH0596,38
FTM0406,36
BDV0168,32
MAS0025,31
EAH0466,30
EHB0824,26
CAH0936,25
FMG0527,24
BIH0745,22
GHL0460,22
LQC0479,18
JMB0308,16
KPC0073,16
BTL0226,16
MYD0978,14
EHD0584,14
AAM0658,13
RGG0064,12
HJB0742,12
WDD0366,12
LJR0523,12
TAP0551,10
BLS0678,8
RAB0589,8
JLM0364,4
JGT0221,4
CSC0217,4
JTM0223,4
MSO0222,4
BBS0039,4
