user,file_activity_count
HSB0196,11627
AJF0370,11053
LBH0942,10889
DLM0051,10673
HPH0075,9323
MOH0273,9306
DBB0384,8543
ZKS0899,8537
THR0873,8525
VIA0063,8524
SAA0999,8468
QRM0739,8401
MDM0625,8346
WIF0691,8267
HCM0267,8167
BJP0134,8072
JNJ0556,7977
BJM0111,7841
JDB0169,7791
AVM0947,7701
BMG0917,7692
CLB0774,7246
MPM0220,6689
CAS0507,6290
DFH0188,6281
AIP0982,6182
XWD0923,5915
SBN0866,5864
EIS0041,3676
HDS0367,3406
TDS0984,3378
VMJ0546,3373
ESJ0670,3303
IBB0359,3199
GNS0178,3049
HCS0003,3045
ILH0958,2970
BAJ0654,2919
BAL0044,2900
JFC0557,2839
MLM0950,2752
HRB0351,2662
ESH0283,2646
RNP0211,2638
SGM0021,2596
PAD0773,2558
ICH0294,2509
BDI0533,2458
NAF0326,2446
CGB0637,2333
SNC0187,2321
BSS0369,2295
IRM0931,2278
KWE0082,2234
RUM0880,2199
AHM0410,2198
JCG0316,2161
PNH0761,2106
HVF0067,2023
MTB0620,1971
WIQ0567,1955
LJT0817,1927
BMT0528,1903
HAH0760,1900
JMD0520,1893
UAD0771,1873
BRS0734,1845
IJM0444,1840
MVB0515,1777
HRL0540,1777
PDH0716,1723
HFB0347,1716
NOB0181,1703
CCA0046,1678
AIB0948,1669
JJH0613,1641
VCC0396,1616
SCP0130,1615
KCO0122,1593
MOS0047,1593
JHP0583,1589
DIB0081,1580
HDH0928,1577
GHH0288,1563
CIM0271,1552
KKW0879,1534
DMK0257,1499
RRP0568,1450
SAB0781,1441
DPM0423,1403
RRC0553,1342
AOK0844,1321
DIW0118,1314
NDM0417,1284
GTD0219,1281
ATP0662,1273
HWW0436,1245
OLW0689,1242
ILJ0526,1236
LBF0214,1236
CHM0821,1228
KMB0922,1209
SMY0792,1209
FEB0306,1157
QJR0688,1069
MPT0376,1054
MBJ0312,1019
IBB0696,986
BVC0790,975
FFC0891,961
GKO0078,942
CAB0614,931
LRR0148,907
OCS0865,873
RSC0089,865
RHO0732,855
WXH0872,826
AJN0607,820
IKP0472,812
IBM0671,802
CFM0767,778
CWR0502,765
CAM0681,759
JDC0030,724
HCL0651,723
BRB0355,712
NWT0098,702
CQW0652,696
HBO0413,691
CEJ0109,679
PMC0328,656
FSC0601,653
CAA0612,641
CCL0068,630
BWP0202,627
IBS0836,624
MDH0580,622
CTA0020,606
FKK0055,601
OBH0499,594
BRM0995,590
ABC0174,589
KRL0501,578
SBN0971,577
GCS0571,564
JMK0099,555
IKR0401,554
AKR0057,540
TSR0676,532
KJJ0293,530
DRR0162,529
TNM0961,526
EDB0714,526
ATE0869,522
BTR0403,520
AJD0074,515
ESR0693,509
IUB0565,503
BBS0422,499
KMW0545,493
PMV0850,490
LDG0459,480
HXL0968,477
IIW0249,473
RDT0424,464
RAW0915,459
PSF0133,449
LOM0086,438
XAA0104,437
MCD0125,434
SBH0537,428
JJM0203,425
MKW0441,421
BIS0247,418
WBC0192,415
LCB0664,414
VTT0385,409
JCR0172,406
VSS0154,405
JDF0593,403
EGD0132,399
RSM0277,393
VSA0230,389
XHW0498,386
KBG0549,377
JTS0389,376
DIB0285,375
SJO0209,372
RHL0992,370
EAH0466,358
AAF0535,357
RAR0725,355
MLL0598,353
DAL0673,352
BBG0325,349
HMM0108,345
IJM0776,344
JBD0616,339
LCC0819,337
CPG0322,337
RLG0856,334
RMW0542,330
NMS0280,321
HAD0246,315
NGF0157,305
GZC0735,304
NKP0236,299
PNL0301,296
BEH0615,268
KCS0173,260
RVF0201,252
CQH0701,243
AJH0175,236
AMR0318,230
NGC0058,200
AHD0848,199
GCL0016,199
MTT0901,187
LIM0674,185
EMW0772,181
FOB0756,165
MGS0974,162
USH0199,142
CCM0136,137
QOS0878,127
VFM0814,122
MCF0600,102
HJS0072,82
MAR0955,69
BQS0525,57
MAS0025,55
KLH0596,53
RKD0604,49
AJR0932,47
ANM0123,47
CAH0936,42
GHL0460,41
BIH0745,41
DCH0843,38
BDV0168,36
FTM0406,33
AAM0658,31
JRG0207,27
FMG0527,23
LQC0479,22
TAP0551,21
MYD0978,15
EHB0824,14
RGG0064,12
EHD0584,11
JMB0308,10
WDD0366,6
HJB0742,5
BLS0678,5
BTL0226,4
LJR0523,3
RAB0589,2
MSO0222,1
CSC0217,1
JTM0223,1
JLM0364,1
JGT0221,1
PPF0435,1
BBS0039,1
