user,unique_file_types
ZKS0899,6
AAF0535,6
XWD0923,6
ABC0174,6
AHD0848,6
AHM0410,6
AIB0948,6
UAD0771,6
TSR0676,6
TNM0961,6
THR0873,6
TDS0984,6
SNC0187,6
SMY0792,6
SJO0209,6
SGM0021,6
SCP0130,6
SBN0971,6
SBN0866,6
SBH0537,6
SAB0781,6
SAA0999,6
BSS0369,6
BRS0734,6
BRM0995,6
BRB0355,6
BMT0528,6
BMG0917,6
BJP0134,6
BJM0111,6
BIS0247,6
BEH0615,6
BDI0533,6
BBS0422,6
CHM0821,6
CGB0637,6
CFM0767,6
CEJ0109,6
CCM0136,6
CCL0068,6
CCA0046,6
CAS0507,6
CAM0681,6
CAH0936,6
CAB0614,6
CAA0612,6
BWP0202,6
BVC0790,6
BTR0403,6
DLM0051,6
DIW0118,6
DIB0285,6
DIB0081,6
DFH0188,6
DBB0384,6
DAL0673,6
CWR0502,6
CTA0020,6
CQW0652,6
CQH0701,6
CPG0322,6
CLB0774,6
CIM0271,6
FKK0055,6
FFC0891,6
FEB0306,6
ESR0693,6
ESJ0670,6
ESH0283,6
EMW0772,6
EIS0041,6
EGD0132,6
EDB0714,6
EAH0466,6
DRR0162,6
DPM0423,6
DMK0257,6
HCL0651,6
HBO0413,6
HAH0760,6
HAD0246,6
GZC0735,6
GTD0219,6
GNS0178,6
GKO0078,6
GHH0288,6
GCS0571,6
GCL0016,6
FSC0601,6
FOB0756,6
IBB0359,6
HXL0968,6
HWW0436,6
HVF0067,6
HSB0196,6
HRL0540,6
HRB0351,6
HPH0075,6
HMM0108,6
HFB0347,6
HDS0367,6
HDH0928,6
HCS0003,6
HCM0267,6
JCR0172,6
JCG0316,6
JBD0616,6
IUB0565,6
IRM0931,6
ILJ0526,6
ILH0958,6
IKR0401,6
IKP0472,6
IJM0776,6
IJM0444,6
IIW0249,6
ICH0294,6
IBS0836,6
IBM0671,6
IBB0696,6
JTS0389,6
JNJ0556,6
JMK0099,6
JMD0520,6
JJH0613,6
JHP0583,6
JFC0557,6
JDF0593,6
JDC0030,6
JDB0169,6
RVF0201,6
RUM0880,6
RSM0277,6
RSC0089,6
RRP0568,6
RRC0553,6
RNP0211,6
RMW0542,6
RLG0856,6
RHO0732,6
RHL0992,6
RDT0424,6
RAW0915,6
RAR0725,6
LIM0674,6
LDG0459,6
LCC0819,6
LCB0664,6
LBH0942,6
LBF0214,6
KWE0082,6
KRL0501,6
KMW0545,6
KMB0922,6
KKW0879,6
KJJ0293,6
KCO0122,6
KBG0549,6
MLM0950,6
MLL0598,6
MKW0441,6
MGS0974,6
MDM0625,6
MDH0580,6
MCF0600,6
MCD0125,6
MBJ0312,6
LRR0148,6
LOM0086,6
LJT0817,6
NOB0181,6
NMS0280,6
NKP0236,6
NGC0058,6
NDM0417,6
NAF0326,6
MVB0515,6
MTT0901,6
MTB0620,6
MPT0376,6
MPM0220,6
MOS0047,6
MOH0273,6
QRM0739,6
QOS0878,6
QJR0688,6
PSF0133,6
PNL0301,6
PNH0761,6
PMV0850,6
PMC0328,6
PDH0716,6
PAD0773,6
OLW0689,6
OCS0865,6
OBH0499,6
NWT0098,6
AIP0982,6
XHW0498,6
XAA0104,6
WXH0872,6
WIQ0567,6
WIF0691,6
WBC0192,6
VTT0385,6
VSS0154,6
VSA0230,6
VMJ0546,6
VIA0063,6
VCC0396,6
USH0199,6
BBG0325,6
BAL0044,6
BAJ0654,6
AVM0947,6
ATP0662,6
ATE0869,6
AOK0844,6
AMR0318,6
AKR0057,6
AJN0607,6
AJH0175,6
AJF0370,6
AJD0074,6
AJR0932,5
ANM0123,5
VFM0814,5
KCS0173,5
MAR0955,5
MAS0025,5
NGF0157,5
MYD0978,5
AAM0658,5
DCH0843,5
BIH0745,5
BQS0525,5
GHL0460,5
JRG0207,5
JJM0203,5
RKD0604,5
HJS0072,5
BDV0168,5
FMG0527,4
FTM0406,4
JMB0308,4
TAP0551,4
EHB0824,4
KLH0596,4
BTL0226,3
RGG0064,3
LQC0479,3
EHD0584,3
BLS0678,2
HJB0742,2
BBS0039,1
WDD0366,1
MSO0222,1
RAB0589,1
PPF0435,1
LJR0523,1
JTM0223,1
JLM0364,1
JGT0221,1
CSC0217,1
