user,risk_score,risk_level,anomaly_score,login_count,after_hours_logins,weekend_logins,usb_connections,after_hours_usb,file_activity,after_hours_files,email_count,after_hours_emails,web_activity,after_hours_web,unique_computers,explanation
DLM0051,98.548,High,-0.2313049550961623,856,458.0,182.0,3775.0,594.0,10673.0,1559.0,7573,1179.0,82840,12858.0,3,High after-hours login activity; Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high USB usage; Very high file activity; Very high web activity; Very high email activity
AJF0370,92.65687029214033,High,-0.202920273354383,1777,942.0,77.0,4261.0,888.0,11053.0,2368.0,3927,0.0,42445,0.0,661,High after-hours login activity; USB activity outside normal hours; File activity outside normal hours; Very high USB usage; Very high file activity; Activity across many computers
HSB0196,85.66920009984935,High,-0.1709015563818804,494,19.0,123.0,3805.0,41.0,11627.0,268.0,5103,254.0,57000,2253.0,1,Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; Very high USB usage; Very high file activity; Very high web activity
NAF0326,84.04731298259674,High,-0.1230477392204247,977,493.0,218.0,900.0,33.0,2446.0,43.0,7121,416.0,74034,3658.0,48,High after-hours login activity; Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; Very high file activity; Very high web activity; Very high email activity; Activity across many computers
LBH0942,83.86287867215029,High,-0.1770230453908481,819,453.0,199.0,3903.0,411.0,10889.0,1016.0,3918,471.0,43035,5344.0,1,High after-hours login activity; Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high USB usage; Very high file activity
IBB0359,83.65473786040086,High,-0.1457976958055503,1676,892.0,1.0,3935.0,859.0,3199.0,2130.0,3631,0.0,39444,539.0,604,High after-hours login activity; USB activity outside normal hours; File activity outside normal hours; Very high USB usage; Very high file activity; Activity across many computers
HPH0075,82.16922637208836,High,-0.140621842157239,721,199.0,105.0,3180.0,30.0,9323.0,31.0,7435,114.0,72720,767.0,1,Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; Very high USB usage; Very high file activity; Very high web activity; Very high email activity
BAL0044,81.56346322570337,High,-0.1284201374706204,1709,1262.0,2.0,1130.0,854.0,2900.0,2061.0,3696,364.0,41379,4212.0,628,High after-hours login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high USB usage; Very high file activity; Activity across many computers
EIS0041,79.6133962371308,High,-0.1216760184698254,1661,1243.0,0.0,1323.0,899.0,3676.0,2266.0,3287,349.0,39270,3925.0,622,High after-hours login activity; USB activity outside normal hours; File activity outside normal hours; Email activity outside normal hours; High after-hours web activity; Very high USB usage; Very high file activity; Activity across many computers
HDS0367,79.43595509177094,High,-0.1176221618985182,1655,915.0,0.0,1364.0,870.0,3406.0,2095.0,3626,0.0,39420,0.0,630,High after-hours login activity; USB activity outside normal hours; File activity outside normal hours; Very high USB usage; Very high file activity; Activity across many computers
OBH0499,79.06829552553035,High,-0.1029569209310825,907,36.0,173.0,3706.0,11.0,594.0,3.0,6229,0.0,69822,423.0,2,Unusual weekend login activity; USB activity outside normal hours; File activity outside normal hours; Very high USB usage; Very high web activity; Very high email activity
