,web_activity_count
nfl.com,619672
linkedin.com,472229
vistaprint.com,428795
theblaze.com,424119
eonline.com,371821
imdb.com,342119
mediafire.com,331283
shareasale.com,324737
inbox.com,321268
hulu.com,309342
ebay.com,305681
digitalpoint.com,303988
linksynergy.com,295832
wellsfargo.com,292621
sidereel.com,285587
outbrain.com,282114
about.com,271185
officedepot.com,268732
sourceforge.net,268436
fiverr.com,266954
verizon.com,262252
wikipedia.org,252477
npr.org,252321
1saleaday.com,245939
conduit.com,244503
pcworld.com,236296
cnn.com,232651
ancestry.com,232459
td.com,226376
sfgate.com,225718
fatwallet.com,224227
slate.com,221964
zendesk.com,221676
rr.com,211926
yfrog.com,204663
slideshare.net,204002
instagr.am,200650
forbes.com,198480
wordpress.org,197113
swagbucks.com,195769
amazonaws.com,192007
chicagotribune.com,188168
discovery.com,187644
retailmenot.com,187494
cbs.com,186793
live.com,181161
city-data.com,180833
ca.gov,178491
babycenter.com,177400
msn.com,175142
livejournal.com,167994
kbb.com,159313
weebly.com,158225
yousendit.com,146914
superpages.com,144719
espn.go.com,142713
paypal.com,139417
etsy.com,138402
chase.com,130694
cbslocal.com,128503
redfin.com,125104
t.co,124308
abcnews.go.com,124155
adobe.com,123661
clickbank.com,123448
united.com,120684
amazon.com,120358
usaa.com,119244
huffingtonpost.com,118251
careerbuilder.com,117221
cox.com,116790
homedepot.com,113714
fidelity.com,111354
1and1.com,107398
weather.com,107285
nymag.com,106687
archive.org,106471
buy.com,103362
boston.com,102028
gotomeeting.com,99946
avg.com,98575
ign.com,97111
sparkstudios.com,95933
ning.com,95630
allrecipes.com,94602
americanexpress.com,94100
cracked.com,93199
mlb.com,92459
istockphoto.com,92423
barefruit.co.uk,87356
evite.com,87223
linkwithin.com,86687
wsj.com,86620
googleusercontent.com,85824
urbandictionary.com,84814
optmd.com,83728
statcounter.com,83374
aol.com,78835
costco.com,77221
hp.com,77170
