user,unique_usb_computers
AJF0370,642
HDS0367,613
EIS0041,607
BAL0044,607
IBB0359,580
BSS0369,489
MPM0220,440
CCA0046,430
MOS0047,391
GTD0219,291
CSC0217,2
JGT0221,2
JLM0364,2
JTM0223,2
MSO0222,2
BBS0039,2
USH0199,1
SBH0537,1
SBN0866,1
SBN0971,1
SCP0130,1
SGM0021,1
SJO0209,1
SMY0792,1
SNC0187,1
TAP0551,1
TDS0984,1
THR0873,1
TNM0961,1
TSR0676,1
UAD0771,1
SAB0781,1
BDV0168,1
BEH0615,1
BIH0745,1
BIS0247,1
BJM0111,1
BJP0134,1
BLS0678,1
BMG0917,1
BMT0528,1
BQS0525,1
BRB0355,1
BRM0995,1
BRS0734,1
BTL0226,1
BTR0403,1
BVC0790,1
BWP0202,1
CAA0612,1
CAB0614,1
CAH0936,1
CAM0681,1
CAS0507,1
CCL0068,1
CCM0136,1
CEJ0109,1
CFM0767,1
CGB0637,1
CHM0821,1
CIM0271,1
CLB0774,1
CPG0322,1
CQH0701,1
CQW0652,1
CTA0020,1
CWR0502,1
DAL0673,1
DBB0384,1
DCH0843,1
DFH0188,1
DIB0081,1
DIB0285,1
DIW0118,1
DLM0051,1
DMK0257,1
DPM0423,1
DRR0162,1
EAH0466,1
EDB0714,1
EGD0132,1
EHB0824,1
EHD0584,1
EMW0772,1
ESH0283,1
ESJ0670,1
ESR0693,1
FEB0306,1
FFC0891,1
FKK0055,1
FMG0527,1
FOB0756,1
FSC0601,1
FTM0406,1
GCL0016,1
GCS0571,1
GHH0288,1
GHL0460,1
GKO0078,1
GNS0178,1
GZC0735,1
HAD0246,1
HAH0760,1
HBO0413,1
HCL0651,1
HCM0267,1
HCS0003,1
HDH0928,1
HFB0347,1
HJB0742,1
HJS0072,1
HMM0108,1
HPH0075,1
HRB0351,1
HRL0540,1
HSB0196,1
HVF0067,1
HWW0436,1
HXL0968,1
IBB0696,1
IBM0671,1
IBS0836,1
ICH0294,1
IIW0249,1
IJM0444,1
IJM0776,1
IKP0472,1
IKR0401,1
ILH0958,1
ILJ0526,1
IRM0931,1
IUB0565,1
JBD0616,1
JCG0316,1
JCR0172,1
JDB0169,1
JDC0030,1
JDF0593,1
JFC0557,1
ZKS0899,1
JHP0583,1
JJH0613,1
JJM0203,1
AAF0535,1
JMB0308,1
JMD0520,1
JMK0099,1
JNJ0556,1
JRG0207,1
AAM0658,1
JTS0389,1
KBG0549,1
KCO0122,1
KCS0173,1
KJJ0293,1
KKW0879,1
KLH0596,1
KMB0922,1
KMW0545,1
KPC0073,1
KRL0501,1
KWE0082,1
LBF0214,1
LBH0942,1
LCB0664,1
LCC0819,1
LDG0459,1
LIM0674,1
LJR0523,1
LJT0817,1
LOM0086,1
LQC0479,1
LRR0148,1
MAR0955,1
MAS0025,1
MBJ0312,1
MCD0125,1
MCF0600,1
MDH0580,1
MDM0625,1
MGS0974,1
MKW0441,1
MLL0598,1
MLM0950,1
MOH0273,1
ABC0174,1
AHD0848,1
MPT0376,1
AHM0410,1
MTB0620,1
MTT0901,1
MVB0515,1
MYD0978,1
NAF0326,1
NDM0417,1
NGC0058,1
NGF0157,1
NKP0236,1
NMS0280,1
NOB0181,1
NWT0098,1
OBH0499,1
OCS0865,1
OLW0689,1
PAD0773,1
PDH0716,1
PMC0328,1
PMV0850,1
PNH0761,1
PNL0301,1
PPF0435,1
PSF0133,1
QJR0688,1
QOS0878,1
QRM0739,1
RAB0589,1
RAR0725,1
RAW0915,1
RDT0424,1
RGG0064,1
RHL0992,1
RHO0732,1
RKD0604,1
RLG0856,1
RMW0542,1
RNP0211,1
RRC0553,1
RRP0568,1
RSC0089,1
RSM0277,1
RUM0880,1
RVF0201,1
SAA0999,1
AIB0948,1
VFM0814,1
VIA0063,1
VMJ0546,1
VSA0230,1
VSS0154,1
VTT0385,1
WBC0192,1
WDD0366,1
WIF0691,1
WIQ0567,1
WXH0872,1
XAA0104,1
XHW0498,1
XWD0923,1
VCC0396,1
BDI0533,1
AJN0607,1
AJR0932,1
AKR0057,1
AMR0318,1
ANM0123,1
AOK0844,1
ATE0869,1
ATP0662,1
AVM0947,1
BAJ0654,1
AIP0982,1
BBG0325,1
AJD0074,1
BBS0422,1
AJH0175,1
