user,usb_connection_count
AJF0370,4261
IBB0359,3935
LBH0942,3903
HSB0196,3805
DLM0051,3775
OBH0499,3706
IIW0249,3375
KKW0879,3257
HPH0075,3180
MOH0273,3155
JDF0593,3153
JNJ0556,3003
AVM0947,2998
SAA0999,2992
JBD0616,2991
ZKS0899,2991
AIB0948,2990
QRM0739,2989
CLB0774,2988
HCM0267,2984
BMG0917,2981
CTA0020,2977
LCB0664,2977
BJP0134,2977
DBB0384,2976
BRM0995,2973
HRL0540,2968
BJM0111,2919
RSC0089,2896
MLL0598,2779
VIA0063,2751
JDB0169,2743
VTT0385,2743
THR0873,2742
BSS0369,2740
MDM0625,2733
WIF0691,2732
MPM0220,2494
JFC0557,1399
HDS0367,1364
EIS0041,1323
BAL0044,1130
CGB0637,1082
RNP0211,1073
DPM0423,1066
JJH0613,1049
SGM0021,1039
AJN0607,1033
MBJ0312,1029
HCS0003,1007
MTB0620,1005
BDI0533,922
NAF0326,900
BRB0355,898
MOS0047,888
BVC0790,879
MLM0950,850
JHP0583,817
LRR0148,788
CCA0046,758
CIM0271,725
VCC0396,719
KWE0082,717
SCP0130,717
GHH0288,716
TSR0676,716
OLW0689,714
BMT0528,713
VMJ0546,709
HBO0413,709
IBB0696,708
KCO0122,703
WXH0872,702
RUM0880,701
MKW0441,700
JCG0316,697
UAD0771,696
HVF0067,694
NDM0417,692
HDH0928,691
RHO0732,690
DMK0257,689
DIW0118,683
HAH0760,677
PDH0716,677
PMC0328,670
CQW0652,668
ICH0294,666
JMD0520,664
HWW0436,664
HCL0651,662
OCS0865,659
LJT0817,655
NWT0098,653
ABC0174,642
CEJ0109,638
FSC0601,634
CCL0068,633
MDH0580,631
IKR0401,569
KRL0501,568
DRR0162,559
EDB0714,535
NOB0181,527
XWD0923,525
IKP0472,519
IRM0931,505
DIB0081,496
TNM0961,494
IUB0565,494
AKR0057,486
GTD0219,479
LBF0214,471
HXL0968,468
VSS0154,462
RAW0915,438
WIQ0567,437
JJM0203,428
XHW0498,423
EGD0132,420
FFC0891,418
MPT0376,410
PSF0133,408
AOK0844,407
DFH0188,406
QJR0688,401
GZC0735,397
ATP0662,394
BEH0615,394
AHM0410,394
RSM0277,393
BQS0525,393
DIB0285,391
IBS0836,388
RRP0568,381
CAS0507,381
BTR0403,380
SMY0792,380
ILJ0526,378
SBN0866,377
PMV0850,376
CFM0767,375
IJM0444,373
RMW0542,373
RLG0856,371
RHL0992,370
SAB0781,369
BBG0325,368
CHM0821,368
CAB0614,368
KMB0922,367
MVB0515,367
AIP0982,366
GKO0078,363
FEB0306,361
CAM0681,360
KCS0173,360
RDT0424,359
IJM0776,350
LCC0819,350
RAR0725,348
CWR0502,348
AAF0535,346
KJJ0293,345
RVF0201,345
DAL0673,331
PNL0301,330
LOM0086,286
QOS0878,239
HAD0246,214
ATE0869,210
ESR0693,198
JDC0030,190
ESJ0670,185
SBN0971,176
NGC0058,175
TDS0984,174
FKK0055,172
JCR0172,170
AJH0175,159
LDG0459,157
NMS0280,155
FOB0756,155
BBS0422,154
GNS0178,152
AHD0848,150
ILH0958,150
AJD0074,150
IBM0671,145
NGF0157,143
MGS0974,142
AMR0318,141
JMK0099,141
SBH0537,140
BAJ0654,140
ESH0283,139
XAA0104,138
GCS0571,138
CQH0701,137
JTS0389,136
GCL0016,134
WBC0192,134
LIM0674,133
HRB0351,133
SJO0209,133
EMW0772,130
BWP0202,129
KMW0545,129
CPG0322,129
BRS0734,128
CAA0612,128
SNC0187,126
PAD0773,124
NKP0236,123
PNH0761,121
CCM0136,120
BIS0247,116
USH0199,112
KBG0549,108
HMM0108,100
VSA0230,98
HFB0347,96
MTT0901,90
VFM0814,90
RRC0553,81
MCD0125,66
MCF0600,36
ANM0123,29
PPF0435,27
HJS0072,26
DCH0843,23
JRG0207,23
MAR0955,21
RKD0604,20
AJR0932,19
KLH0596,19
FTM0406,18
BDV0168,16
MAS0025,16
EAH0466,15
CAH0936,13
EHB0824,13
FMG0527,12
BIH0745,11
GHL0460,11
LQC0479,9
JMB0308,8
KPC0073,8
BTL0226,8
MYD0978,7
AAM0658,7
EHD0584,7
RGG0064,6
HJB0742,6
WDD0366,6
LJR0523,6
TAP0551,5
BLS0678,4
RAB0589,4
JLM0364,2
JGT0221,2
CSC0217,2
JTM0223,2
MSO0222,2
BBS0039,2
