,web_activity_count
MSS0001,138000
KBP0008,103800
TVS0006,98610
BTW0005,98610
HTH0007,98610
HCS0003,98610
KWC0004,98610
DLM0051,82840
RZC0746,77760
ATE0869,74205
NAF0326,74034
HRB0351,72770
HPH0075,72720
AJR0319,72252
OBH0499,69822
LBF0214,68400
JCR0172,65934
TVS0050,65740
CNE0352,65740
BXJ0010,65740
AMM0014,65740
WKF0012,65740
WKD0013,65740
AMD0077,65740
DCC0160,65740
RHY0079,65740
SBK0161,65740
DTT0076,65740
FUM0015,65740
SLB0049,65740
BTS0011,65740
DJB0159,65550
GKO0078,65550
NAH0503,64152
CSH0626,63990
NWK0215,63492
KKW0879,61722
GZC0735,61047
CMB0912,60489
ZJE0857,59454
FBW0747,59292
CAA0612,58820
WDO0870,58820
THR0873,58820
RLG0856,58650
HVB0037,57629
DMM0623,57510
LRR0148,57200
BEH0615,57024
HSB0196,57000
JXH0493,56052
OLF0504,56052
DDA0476,56052
MCF0327,56052
MIC0726,56052
KPR0497,56052
CTW0500,56052
CGA0629,56052
CCM0855,56052
IJW0851,56052
LOF0311,56052
MAH0864,56052
UJC0737,56052
JOM0750,56052
JDB0169,56052
EZH0736,56052
BAH0875,56052
SES0477,56052
SCF0608,56052
LTS0860,56052
DSB0731,56052
HCV0478,56052
BBG0325,56052
GQP0743,56052
MBJ0312,56052
IDO0176,56052
AMR0318,56052
MCJ0324,56052
QRM0739,56052
SBN0866,56052
KES0729,56052
JCG0316,56052
CKB0482,56052
BJW0619,56052
GCC0744,56052
SBN0495,56052
IMB0481,56052
CAB0614,56052
JPW0741,56052
GRM0868,56052
RCC0617,56052
COM0321,56052
QPM0727,56052
DBW0483,56052
HKR0628,56052
HKI0171,56052
IRT0491,56052
MKP0861,56052
CQH0730,56052
TET0621,56052
CBG0490,56052
BER0314,56052
MLD0755,56052
CLF0852,56052
JJH0613,56052
AJN0607,56052
MTB0620,56052
DGW0752,56052
CJC0494,56052
MSZ0310,56052
CWR0502,56052
LEM0605,56052
FQA0854,56052
CCR0863,56052
PRM0740,56052
BAM0611,56052
JCW0858,56052
RTO0313,56052
NSS0876,56052
LLV0602,56052
MHG0733,56052
FHO0630,56052
RHO0732,56052
WXH0872,56052
FGW0853,56052
PEV0323,56052
KJS0618,56052
OCS0865,56052
JAD0609,56052
KBS0874,56052
EMS0317,56052
PLH0862,56052
SVS0871,56052
JBD0616,56052
KAT0489,56052
MAD0753,56052
RBB0485,56052
VCY0751,56052
GMF0738,56052
RHP0484,55890
HDL0748,55890
AIM0627,55890
CMM0487,55890
NNA0610,55890
IMG0320,55890
LCD0622,55890
MDM0625,55890
RUM0880,55890
NMC0486,55728
LHL0309,55728
WBC0315,55728
SDO0170,55728
SBH0537,55198
JDC0030,54378
ATP0662,53339
DGN0480,53298
KCS0173,52938
BEC0505,52938
LPC0492,52938
AJH0175,52938
CPG0322,52938
ZDW0859,52938
GBM0603,52164
WBC0192,51900
SJO0209,50479
MMB0488,50220
FSC0601,49708
GTD0116,49478
CHG0146,49478
SGG0787,49478
JBM0350,49478
CCW0031,49478
VIA0063,49478
LAM0911,49478
VMJ0147,49478
MCS0035,49478
WVB0539,49478
AAE0190,49478
BJH0354,49478
FAW0032,49478
RNP0211,49478
HPM0986,49478
UFK0208,49478
AMV0036,49478
FDE0117,49478
FBA0348,49478
KKS0119,49478
MAW0166,49478
JLW0053,49478
TQS0212,49478
HDD0789,49478
ARL0034,49478
DIW0118,49478
KDS0349,49478
EWH0191,49478
SBQ0786,49335
SIJ0661,49335
HIW0536,49335
FLM0213,49335
CEB0210,49335
ASS0206,49335
NAF0033,49192
WPR0368,48533
ABC0174,48095
HAD0246,46740
LCB0664,46710
FKK0055,46400
RGH0728,45522
BRB0355,45500
IRM0931,45315
HDD0806,44840
ESJ0670,44650
GCL0016,44232
AJD0074,44118
MDH0686,43605
MGS0974,43320
KRL0501,43049
LBH0942,43035
NGC0058,42800
AJF0370,42445
WIQ0567,41990
BAL0044,41379
BVC0790,41135
SRH0155,41040
HJB0742,40972
TDS0984,40850
AMW0392,40500
RAW0915,40300
JRG0207,40185
YIC0195,40128
DRR0242,39600
CSB0080,39444
QNF0205,39444
SAT0194,39444
CJK0200,39444
PGC0066,39444
CBB0365,39444
JRS0362,39444
MDM0976,39444
KRV0372,39444
MAH0149,39444
SAK0375,39444
HJA0018,39444
YDN0198,39444
AKW0167,39444
LDB0090,39444
KNB0022,39444
PES0085,39444
JIM0095,39444
TEM0977,39444
ASG0048,39444
KRL0062,39444
CSP0197,39444
KJA0152,39444
TCD0009,39444
GRC0145,39444
CIG0052,39444
AOB0019,39444
KRG0158,39444
LBC0356,39444
SDF0017,39444
NKH0979,39444
KBB0189,39444
SNS0129,39444
FRB0023,39444
IBB0359,39444
GLR0975,39444
NCH0179,39444
RVF0201,39444
SGM0021,39444
BWP0202,39444
LMF0980,39444
DMG0358,39424
HDS0367,39420
JCC0225,39408
KJP0371,39403
TSM0363,39400
BKW0374,39388
JAV0361,39377
UIR0043,39375
DFR0218,39354
ACC0042,39336
JOL0024,39330
SER0165,39330
PBP0002,39330
ETR0177,39330
TOR0193,39330
RDM0115,39330
MNS0224,39304
EIS0041,39270
QNP0216,39239
EMW0105,39216
KCF0045,39209
EHB0420,38880
IAR0694,38380
JLM0364,38165
MOH0273,38095
BBS0422,37525
CTA0020,37368
MKS0204,37368
SPA0141,37368
IIW0249,37145
AHC0142,36670
NGF0157,36450
WDD0366,34850
TSR0676,34600
CRO0027,34600
WIF0691,34600
CJF0802,34600
CAM0681,34600
BMG0917,34600
BRM0995,34600
GAF0570,34600
NBC0412,34600
DVM0265,34600
NCE0097,34600
ETR0428,34600
AIP0982,34500
DAL0673,34500
HRL0540,34400
QJR0688,34200
LIM0674,33535
AHM0410,33440
DAG0558,32870
BSB0990,32870
KCO0122,32870
TLK0993,32870
PKB0281,32870
LAF0991,32870
SDB0106,32870
HAC0282,32870
WLV0566,32870
ZMC0284,32870
HCL0113,32870
KSH0569,32870
SMY0792,32870
RRP0568,32870
PMJ0564,32870
OYM0026,32870
HOB0994,32870
ESH0283,32870
OLW0689,32870
SAC0687,32870
JNJ0556,32870
CCH0685,32870
RNL0695,32870
JNA0559,32870
KKC0683,32870
KBL0260,32870
FKB0163,32870
JGM0934,32870
ASG0692,32870
JFC0557,32870
WTR0563,32870
DOP0562,32870
DJS0682,32870
JMC0925,32870
BWH0813,32870
JMK0099,32870
EIM0156,32870
ZJS0269,32870
KCB0815,32870
BJH0811,32870
TSM0927,32870
NHE0919,32870
AQD0820,32870
CRK0916,32870
IYB0918,32870
BBH0810,32870
NKH0807,32870
TRK0914,32870
KBC0054,32870
JCR0921,32870
FIR0920,32870
HBB0056,32870
IWM0816,32870
SOF0808,32870
AKC0924,32870
LJT0817,32870
HDH0928,32870
HSG0818,32870
SSH0799,32870
MKL0941,32870
RAG0275,32870
ONL0276,32870
DVW0103,32870
DBG0261,32870
BLL0929,32870
VEB0935,32870
MSD0939,32870
IIA0092,32870
GNS0178,32870
SJF0094,32870
EHR0096,32870
SVL0940,32870
PGO0433,32870
WAS0254,32870
USH0199,32870
ENL0100,32870
KTG0091,32870
WSR0241,32870
XAA0104,32870
ROB0272,32870
KAC0124,32870
SMB0804,32870
MHA0798,32870
NAB0801,32870
CNM0800,32870
ADF0397,32870
YEV0793,32870
EBC0390,32870
CCC0393,32870
XBN0229,32870
UCS0227,32870
RRA0938,32870
IJM0444,32870
BTR0403,32870
NNS0059,32870
RDT0424,32870
DMK0257,32870
NAR0981,32870
YCE0983,32870
DHM0937,32870
RAH0440,32870
DIC0988,32870
MIL0255,32870
VAA0087,32870
KAT0270,32870
HLM0933,32870
JTS0389,32870
KVT0028,32870
OMS0101,32870
DLH0029,32870
CAM0102,32870
TTD1000,32870
EPW0434,32870
JKB0126,32870
PID0426,32870
DBS0235,32870
HRW0550,32870
ALH0402,32870
GAF0060,32870
KBG0549,32870
SMW0084,32870
CBG0398,32870
HAM0985,32870
PDW0259,32870
NBH0256,32870
SGS0268,32870
RFP0380,32870
ANT0430,32870
PKB0429,32870
ECL0930,32870
AMH0794,32870
DGF0443,32870
SRS0231,32870
VCC0396,32870
BTN0061,32870
DZC0228,32870
CIM0271,32870
RGN0408,32870
NKP0236,32870
ONW0083,32870
ASL0378,32870
CKB0427,32870
NCO0666,32870
GJT0386,32870
TJD0996,32870
CUD0795,32870
TLM0797,32870
AAF0791,32870
EIP0997,32870
VTT0385,32870
NCK0421,32870
GCR0554,32870
ZSK0258,32870
RJB0088,32870
OJK0233,32870
OCB0805,32870
DLF0377,32870
ANP0555,32870
SVL0803,32870
VMJ0546,32870
BSH0445,32870
KWE0082,32870
AMR0400,32870
BNG0237,32870
TEB0251,32870
JAM0382,32870
MHG0244,32870
ATF0274,32870
ADC0391,32870
ARA0252,32870
NDM0417,32870
NJB0243,32870
JCV0245,32870
DBB0384,32870
ABN0239,32870
CKD0680,32870
DPM0423,32870
RVC0232,32870
RAS0432,32870
MLP0668,32870
JER0404,32870
JPA0667,32870
HCW0419,32870
TDJ0998,32870
TMA0069,32870
HIA0414,32870
SOG0411,32870
BSA0431,32870
PTH0552,32870
RJM0381,32870
AIS0405,32870
OKB0439,32870
LFS0071,32870
LNS0989,32870
JJB0127,32870
BMC0547,32870
RSC0089,32850
NGO0690,32775
DTP0379,32775
HAV0121,32775
MES0407,32775
CEL0561,32775
AIH0675,32775
ALD0544,32775
KAL0395,32775
CAB0388,32775
BHC0665,32775
KMB0922,32775
ORM0669,32775
IBM0671,32775
KJW0416,32775
HAH0248,32775
AIP0394,32775
WTF0387,32775
MMG0943,32775
CKH0144,32775
SSG0250,32775
CWB0065,32775
RMS0266,32775
KVS0425,32775
RSM0277,32775
HGG0240,32775
KQS0415,32775
JIG0128,32775
MPT0376,32760
OKC0107,32680
ABC0253,32680
LQC0479,31917
FSB0399,31825
RKF0164,31730
XHW0498,31690
HKB0418,31540
IUY0279,31140
AOS0987,31140
HVF0067,31140
KMW0545,31140
DLS0383,31140
BIS0247,31140
BLB0114,31140
SAA0999,31140
ACV0812,31140
HCM0267,31140
HWW0436,31050
KRM0541,31050
HGN0287,31050
HBO0413,30812
NWT0098,30435
CEJ0109,30330
COF0120,29754
DRR0162,29293
NRD0548,29070
MSH0040,28970
MAS0025,28745
MYD0978,28617
KNG0672,28595
BSS0369,28561
VSA0230,28120
PPF0435,27551
CCL0068,27464
IKR0401,27375
MSO0222,27086
KSP0357,27018
BDV0168,26733
BCB0679,26695
AKR0057,26463
SOB0360,25764
ASB0796,25175
JMB0308,24789
ENC0234,24605
MPM0220,24551
VSS0154,24506
RKD0604,24302
WAB0143,24130
XWD0923,23750
SAP0867,23652
TEM0093,23465
BIH0745,23329
FTM0406,23277
GOK0238,22895
VFM0814,22800
CCA0046,22744
BYP0070,22610
IUB0565,22354
MBG0438,22325
CIM0926,21755
JMH0543,21660
TAP0551,21377
RGG0064,21093
BMS0877,20412
