,weekend_email_count
ATE0869,2092
RZC0746,1745
NAF0326,1597
DLM0051,1550
AJR0319,1411
LBF0214,1399
HAD0246,1377
JDC0030,1367
HSB0196,1307
NWK0215,1174
OBH0499,1170
ESJ0670,1159
HPH0075,1075
IRM0931,1063
HDD0806,1022
FKK0055,1010
BRB0355,969
CMB0912,960
MDH0686,946
LBH0942,914
AMW0392,866
WPR0368,820
DRR0242,809
WIQ0567,799
JCR0172,793
BVC0790,736
YIC0195,733
HVB0037,715
EHB0420,703
NGC0058,696
TDS0984,694
LRR0148,671
GZC0735,643
NAH0503,617
ABC0174,601
HRB0351,574
CSH0626,520
IAR0694,498
MOH0273,462
NGF0157,449
GCL0016,438
BSS0369,432
CTR0341,425
BBS0422,399
RAW0915,398
LAP0338,398
HLH0512,396
AJD0074,373
KKW0879,372
SBH0537,367
MGS0974,364
NOB0181,351
QOS0878,349
IIW0249,346
MAD0496,339
CJM0521,325
MCD0125,305
SSJ0784,293
AHC0142,286
BDI0533,285
FBW0747,283
ATP0662,277
IIL0513,267
NMS0280,247
BRS0734,233
FOB0756,213
ZJE0857,212
AJF0370,193
ALB0892,166
MPT0376,149
IKP0472,139
RSC0089,135
SRH0155,132
QJR0688,126
SMH0291,123
AOK0844,111
MHH0180,110
RRC0553,105
IEB0153,99
RAM0447,94
JKJ0698,92
SBN0971,91
JAJ0849,87
ILJ0526,80
PTH0830,72
MLM0950,72
LIM0674,72
LDD0560,71
JKF0465,61
JHP0583,52
BJM0111,48
BQS0525,41
DMM0623,41
MCF0600,40
DAR0885,35
AHD0848,31
AHM0410,27
IBS0836,27
HFB0347,19
HJS0072,16
BEH0615,15
JDF0593,12
JJH0292,2
