user,weekend_file_count
HSB0196,2964
LBH0942,2542
DLM0051,2184
HPH0075,1336
MOH0273,1210
ESJ0670,690
TDS0984,655
IRM0931,617
BDI0533,522
NAF0326,509
MLM0950,502
AJF0370,483
NOB0181,473
BSS0369,454
AOK0844,433
WIQ0567,371
BJM0111,343
BRS0734,336
LBF0214,301
JDC0030,212
IKP0472,209
RRC0553,202
BVC0790,201
HRB0351,189
JHP0583,179
ATE0869,166
SBN0971,138
BRB0355,137
KKW0879,137
FKK0055,129
LRR0148,112
ILJ0526,107
OBH0499,98
NGC0058,81
NMS0280,74
MPT0376,73
ABC0174,72
HAD0246,66
HFB0347,56
MCD0125,56
ATP0662,54
RAW0915,50
JCR0172,45
QJR0688,43
RSC0089,43
BBS0422,42
IBS0836,41
QOS0878,38
NGF0157,37
FOB0756,36
GCL0016,31
AJD0074,29
GZC0735,28
MAR0955,24
IIW0249,23
AHM0410,22
SBH0537,21
AHD0848,19
MGS0974,17
JDF0593,14
BQS0525,12
DCH0843,11
HJS0072,6
RAB0589,2
LIM0674,1
