user,weekend_login_count
WPR0368,325
HAD0246,311
IKP0472,287
CTR0341,277
IRM0931,271
SMH0291,251
ATE0869,250
NOB0181,245
LAP0338,241
RZC0746,241
JDC0030,233
LBF0214,232
HDD0806,226
NAF0326,218
BRB0355,214
FKK0055,213
SSJ0784,210
AOK0844,209
MDH0686,201
LBH0942,199
BVC0790,192
EHB0420,189
BDI0533,187
JAJ0849,184
NWK0215,184
DLM0051,182
AJR0319,181
BSS0369,180
RAM0447,178
AMW0392,177
WIQ0567,174
OBH0499,173
TDS0984,161
FOB0756,159
MLM0950,153
YIC0195,142
CMB0912,140
HLH0512,138
ESJ0670,129
HSB0196,123
IAR0694,115
CJM0521,113
JHP0583,111
HPH0075,105
LRR0148,104
NGF0157,104
JKJ0698,102
NGC0058,101
JCR0172,98
SBN0971,94
RAW0915,94
DRR0242,94
GZC0735,90
NMS0280,89
IIL0513,88
CSH0626,87
ABC0174,83
AJF0370,77
GCL0016,77
PTH0830,74
AJD0074,74
MCD0125,72
BBS0422,69
AHC0142,66
MHH0180,65
JKF0465,64
HRB0351,63
IBS0836,63
ALB0892,58
ILJ0526,57
AHD0848,55
QOS0878,55
MCF0600,54
MOH0273,53
SBH0537,53
NAH0503,52
HVB0037,52
ATP0662,48
IIW0249,47
MGS0974,39
JDF0593,38
KKW0879,37
MPT0376,37
RSC0089,37
BJM0111,34
SRH0155,27
RRC0553,23
MAD0496,23
IEB0153,21
FBW0747,20
QJR0688,20
LIM0674,20
BRS0734,17
ZJE0857,17
DAR0885,17
BQS0525,16
LDD0560,10
BWP0202,7
CLB0774,7
TVS0050,7
HFB0347,7
PID0426,6
DMK0257,6
AHM0410,6
PEV0323,6
DMM0623,6
WDV0573,6
BIS0247,6
SPA0141,5
ACV0812,5
BAH0875,5
FGW0853,5
COF0120,5
IBP0883,5
KCO0122,5
RTO0313,5
KMB0922,5
PNH0761,4
CRK0916,4
RUM0880,4
JBM0350,4
JJH0292,4
JMC0925,4
CJF0802,4
WKD0013,4
WDO0870,3
LUR0896,3
VCC0396,3
RHO0732,3
BMG0917,3
AIP0394,3
GNS0178,2
GHH0288,2
AMR0318,2
BEH0615,2
AJL0462,2
BAL0044,2
SED0886,2
RLG0856,2
FFC0891,2
LJR0523,2
CRO0027,2
DPS0262,2
JMD0520,2
HJS0072,2
CJP0952,1
AAM0658,1
KLH0596,1
HWW0436,1
IBB0359,1
IJM0444,1
EHD0584,1
DCH0843,1
MAR0955,1
MPM0220,1
PMJ0564,1
MYD0978,1
MKW0441,1
RAB0589,1
SBN0866,1
RLB0719,1
THR0873,1
TAP0551,1
