user,weekend_usb_count
HSB0196,962
LBH0942,893
DLM0051,757
OBH0499,695
BSS0369,511
HPH0075,450
MOH0273,426
IIW0249,342
KKW0879,232
BRB0355,202
AJF0370,198
BDI0533,197
NAF0326,185
BVC0790,166
MLM0950,160
IKP0472,154
NOB0181,139
AOK0844,135
JDF0593,131
IRM0931,129
RSC0089,124
BJM0111,123
BQS0525,113
LBF0214,107
JHP0583,100
LRR0148,92
ABC0174,90
WIQ0567,78
RAW0915,62
ATE0869,61
HAD0246,61
JDC0030,51
QOS0878,50
GZC0735,40
ESJ0670,40
FKK0055,38
NGC0058,37
ILJ0526,37
SBN0971,33
TDS0984,31
IBS0836,30
NMS0280,29
MPT0376,26
JCR0172,25
BRS0734,24
ATP0662,21
FOB0756,20
NGF0157,19
AHD0848,18
MGS0974,16
GCL0016,16
QJR0688,16
RRC0553,14
BBS0422,14
AJD0074,10
HRB0351,9
SBH0537,9
MCD0125,7
DCH0843,5
MAR0955,5
AHM0410,4
HFB0347,4
RAB0589,2
HJS0072,2
LJR0523,2
LIM0674,2
AJR0932,1
AAM0658,1
EHD0584,1
KLH0596,1
MYD0978,1
TAP0551,1
