,weekend_web_count
ATE0869,20349
RZC0746,20088
DLM0051,16720
NAF0326,16524
AJR0319,15876
LBF0214,15450
JDC0030,14592
HSB0196,14520
NWK0215,13585
HAD0246,13300
OBH0499,13122
IRM0931,11590
FKK0055,11500
ESJ0670,11305
HDD0806,11210
HPH0075,10440
MDH0686,10260
BRB0355,10100
CMB0912,10010
LBH0942,9880
JCR0172,8910
WIQ0567,8835
AMW0392,8820
WPR0368,8778
DRR0242,8460
NGC0058,8100
BVC0790,8075
YIC0195,7980
TDS0984,7600
HVB0037,7436
EHB0420,7200
LRR0148,7007
ABC0174,6987
NAH0503,6804
GZC0735,6732
CSH0626,6318
HRB0351,6270
IAR0694,5415
BSS0369,5280
MOH0273,5035
RAW0915,4900
GCL0016,4788
NGF0157,4590
SBH0537,4576
KKW0879,4374
AJD0074,4332
BBS0422,4275
CTR0341,4147
QOS0878,4050
LAP0338,3973
HLH0512,3944
MGS0974,3876
IIW0249,3800
MAD0496,3726
MCD0125,3325
CJM0521,3277
NOB0181,3267
AHC0142,3135
FBW0747,3078
SSJ0784,2987
BDI0533,2970
ATP0662,2860
BRS0734,2754
IIL0513,2640
NMS0280,2610
ZJE0857,2430
FOB0756,2088
AJF0370,1992
ALB0892,1682
MPT0376,1530
RSC0089,1440
SRH0155,1368
IKP0472,1287
SMH0291,1270
QJR0688,1235
RRC0553,1140
AOK0844,1120
IEB0153,1008
MHH0180,999
RAM0447,980
SBN0971,940
JKJ0698,930
JAJ0849,890
ILJ0526,783
LIM0674,760
MLM0950,750
PTH0830,740
LDD0560,665
JKF0465,640
JHP0583,520
DMM0623,486
BJM0111,464
MCF0600,419
BQS0525,378
DAR0885,348
AHD0848,310
AHM0410,285
IBS0836,261
HFB0347,203
HJS0072,190
BEH0615,162
JDF0593,150
AJR0932,96
JJH0292,20
TAP0551,6
LJR0523,5
AAM0658,4
MYD0978,3
EHD0584,2
KLH0596,2
RAB0589,1
DCH0843,1
MAR0955,1
